parent_asin,product_title,brand,category_l2,category_l3,price,average_rating,rating_number,review_count,value_score,weighted_rating_signal,demand_rank,value_rank,review_rank
B0C2JN4KLD,"Earth Rated Dog Poop Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count",Earth Rated,Dogs,Litter & Housebreaking,13.74,4.8,205050,38,4.272843321455936,58.70886723680455,1.0,272.0,20.0
B0C3HYS7DQ,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Standard Absorbency, Regular Size, 22 x 22 Inches - Pack of 50",Amazon Basics,Dogs,Litter & Housebreaking,24.18,4.5,178175,67,2.2500980964294013,54.40737197166292,2.0,1215.0,6.0
B00QCVQR3A,"Amazon Basics Dog Poop Bags With Dispenser and Leash Clip, Unscented, Standard, 600 Count, 40 Pack of 15, Black, 13 Inch x 9 Inch",Amazon Basics,Dogs,Litter & Housebreaking,15.03,4.8,175000,32,3.8555040214531067,57.94822544244019,3.0,365.0,24.0
B07KYL7MFN,"rabbitgoo Dog Harness, No-Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Dog Vest, Reflective No-Choke Pet Oxford Vest with Easy Control Handle for Small Dogs, Turquoise, S",rabbitgoo,Dogs,"Collars, Harnesses & Leashes",24.98,4.5,152355,23,2.1498353983134972,53.702888249871165,4.0,1316.0,32.0
B0BJ18G8Y3,"Chuckit Ultra Ball Dog Toy, XXL (4 Inch Diameter), Pack of 1, for breeds 100+ lbs",Chuckit!,Dogs,Toys,15.42,4.8,132257,39,3.6708201834659584,56.60404722904508,5.0,410.0,19.0
B017UQCB3A,"GoTags Stainless Steel Pet ID Tags, Personalized Dog Tags and Cat Tags, up to 8 Lines of Custom Text, Engraved on Both Sides, in Bone, Round, Heart, Bow Tie and More",GoTags,Dogs,"Collars, Harnesses & Leashes",8.95,4.7,116226,42,6.124861691143969,54.81751213573852,6.0,91.0,16.0
B0B5Q649TX,"Glad for Pets Activated Carbon Puppy Training Pads | Carbon Activated Puppy Pads for All Dogs | Giant Sized Dog Training Pads, Super Absorbent and Leak Proof Puppy Pee Pads, 72-Count",Glad,Dogs,Litter & Housebreaking,,4.5,110732,53,,52.26694729764252,7.0,3660.0,11.0
B0C33XY5MV,"Furhaven XL Cooling Gel Foam Dog Bed Two-Tone Faux Fur & Suede L Shaped Chaise w/ Removable Washable Cover - Marine Blue, Jumbo (X-Large)",Furhaven,Cats,Beds & Furniture,82.99,4.5,97103,25,0.6226764708560112,51.67592031634037,8.0,3186.0,30.0
B0BVZRV6GK,"Wobble Wag Giggle Ball,Interactive Dog Toy",Wobble Wag Giggle,Dogs,Toys,14.3,4.1,86226,29,3.2584215660088636,46.59542839392675,9.0,559.0,27.0
B07QS5N1D8,"Benebone Wishbone Durable Dog Chew Toy for Aggressive Chewers, Real Peanut, Made in USA, Medium",Benebone,Dogs,Toys,12.52,4.5,84140,38,4.075968178045041,51.03112158912391,10.0,307.0,20.0
B099WFB4XZ,Casfuy Dog Nail Grinder Upgraded - Professional 2-Speed Electric Rechargeable Pet Nail Trimmer Painless Paws Grooming & Smoothing for Small Medium Large Dogs & Cats (Pink),Casfuy,Dogs,Grooming,22.49,4.5,83671,21,2.267939907779167,51.00596852595346,11.0,1200.0,34.0
B073QQT2WM,"KONG - Classic Dog Toy, Durable Natural Rubber- Fun to Chew, Chase and Fetch - for Extra Large Dogs",KONG,Dogs,Toys,19.99,4.6,79492,24,2.5964858195935965,51.90375153367599,12.0,933.0,31.0
B07YFHMTV2,MidWest Bolster Pet Bed for Dogs & Cats 54L-Inch Cinnamon Dog Bed or Cat Bed w/ Comfortable Bolster|Ideal for Giant Dog Breeds (Great Dane / Mastiff) & Fits a 54-Inch Dog Crate Dry|1-Year Warranty,MidWest Homes for Pets,Dogs,Beds & Furniture,52.36,4.2,79186,47,0.9047781355279972,47.374183176245936,13.0,2820.0,13.0
B09H24L1Z4,"Furhaven Large Pillow Dog Bed Comfy Couch Plush & Decor Sofa-Style w/ Removable Washable Cover - Diamond Blue, Large",Furhaven,Dogs,Beds & Furniture,39.99,4.5,76036,21,1.264700901302089,50.57538904307054,14.0,2318.0,34.0
B0BR9V6F2T,"Voyager Step-In Air Dog Harness - All Weather Mesh Step in Vest Harness for Small and Medium Dogs by Best Pet Supplies - Pink Base, M",Best Pet Supplies,Dogs,"Collars, Harnesses & Leashes",14.99,4.6,75001,32,3.4447126264587054,51.636242270615995,15.0,486.0,24.0
B09M5Z1826,"BAAPET 2/4/5/6 FT Dog Leash with Comfortable Padded Handle and Highly Reflective Threads for Small Medium and Large Dogs (5FT-1/2'', Black)",BAAPET,Dogs,"Collars, Harnesses & Leashes",9.89,4.7,73239,22,5.323259443306946,52.6470358943057,16.0,141.0,33.0
B079D3NTNF,"Amazon Basics Dog Poop Bags with Dispenser and Leash Clip, 13 x 9 Inches, Talcum Powder Scented - 270 Bags (18 Rolls)",Amazon Basics,Dogs,Litter & Housebreaking,12.37,4.8,71369,5,4.33654307853133,53.64303788143254,17.0,256.0,50.0
B09FG6P44R,"MidWest Foldable Metal Dog Exercise Pen / Pet Playpen, 24""W x 42""H, 1-Year Manufacturer's Warranty",MidWest Homes for Pets,Dogs,"Crates, Houses & Pens",62.99,4.6,69317,20,0.813997706014779,51.27371550187093,18.0,2937.0,35.0
